image,ocr_image,plate_detected,det_conf,bbox,plate_color,detector_fallback_used,detector_fallback_prediction,detector_fallback_crop,color_white,color_yellow,color_blue,color_red,prediction,prediction_normalized,selected_model,validity_score,ground_truth,char_acc,full_plate_correct,total_time_ms,train1_paddleocr_pred,train1_paddleocr_score,train1_paddleocr_time_ms,train1_paddleocr_error,train2_best_ema_pred,train2_best_ema_score,train2_best_ema_time_ms,train2_best_ema_error
car_104.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_104.jpg,,,,unknown,False,,,0.0013,0.0007,0.0000,0.0000,30G58236,30G58236,merged_train2_train1,13,30G 58236,1.0,True,117.480,530.36,2,63.572,,30G 58236,13,53.908,
car_107.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_107.jpg,,,,white,False,,,0.4306,0.0000,0.0000,0.0145,26A08211,26A08211,merged_train2_train1,13,26A 08211,1.0,True,41.583,26A-082.11,13,14.211,,2 6A081,5,27.372,
car_115.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_115.jpg,,,,white,False,,,0.5404,0.1653,0.0000,0.0000,30F03055,30F03055,merged_train2_train1,13,30F 07555,0.75,False,46.305,030.55,2,13.535,,30F 0755,13,32.771,
car_123.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_123.jpg,,,,white,False,,,0.1161,0.0001,0.0000,0.0001,89LD00275,89LD00275,merged_train2_train1,18,89LD 00275,1.0,True,97.514,0091,2,14.898,,89LD 00275,18,82.617,
car_130.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_130.jpg,,,,white,False,,,0.5348,0.0000,0.0000,0.0000,21A08531,21A08531,merged_train2_train1,13,21A 08531,1.0,True,40.390,21A-085.31,13,13.680,,2 1A085,5,26.710,
car_137.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_137.jpg,,,,unknown,False,,,0.0000,0.0000,0.0000,0.0000,30E77379,30E77379,merged_train2_train1,13,30E 77379,1.0,True,58.180,730E9,3,13.457,,30E 77379,13,44.723,
car_138.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_138.jpg,,,,white,False,,,0.2238,0.0000,0.0000,0.0000,30G03947,30G03947,merged_train2_train1,13,30G 03947,1.0,True,58.880,EOG-03917,3,13.245,,30G 03947,13,45.634,
car_147.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_147.jpg,,,,white,False,,,0.4441,0.0000,0.0002,0.0000,29A77998,29A77998,merged_train2_train1,13,29A 77998,1.0,True,41.335,29A-779.98,13,13.729,,2 9A778,5,27.606,
car_151.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_151.jpg,,,,white,False,,,0.4124,0.0000,0.0000,0.0000,89A20664,89A20664,merged_train2_train1,13,89A 20664,1.0,True,42.283,89A-206.64,13,13.895,,89A 2064,13,28.387,
car_180.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_180.jpg,,,,white,False,,,0.5520,0.0000,0.0273,0.0000,89A10993,89A10993,merged_train2_train1,13,89A 10993,1.0,True,40.734,89A-109.93,13,13.636,,8 9A103,5,27.097,
car_186.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_186.jpg,,,,white,False,,,0.4665,0.0000,0.0000,0.0000,30F80651,30F80651,merged_train2_train1,13,30F 80651,1.0,True,49.004,30F-806.51,13,13.458,,30F 8061,13,35.545,
car_195.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_195.jpg,,,,white,False,,,0.7012,0.0000,0.0000,0.0000,30F77294,30F77294,merged_train2_train1,13,30F 77294,1.0,True,44.880,30F-772.94,13,14.659,,3 0F774,5,30.221,
car_204.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_204.jpg,,,,white,False,,,0.5291,0.0000,0.0000,0.0000,89A10868,89A10868,merged_train2_train1,13,89A 10868,1.0,True,63.499,10868,2,14.502,,89A 10868,13,48.997,
car_214.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_214.jpg,,,,white,False,,,0.4775,0.0000,0.0000,0.0000,30A57188,30A57188,merged_train2_train1,13,30A 52186,0.75,False,58.313,,0,14.830,,30A 57188,13,43.483,
car_236.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_236.jpg,,,,white,False,,,0.6374,0.0000,0.0000,0.0000,30G58326,30G58326,merged_train2_train1,13,30G 58236,0.75,False,64.826,530.G6,3,15.233,,30G 58326,13,49.593,
car_241.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_241.jpg,,,,white,False,,,0.6882,0.0000,0.0004,0.0000,30G58858,30G58858,merged_train2_train1,13,30G 58858,1.0,True,63.348,530.58,2,14.181,,30G 58858,13,49.167,
car_249.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_249.jpg,,,,white,False,,,0.5082,0.0000,0.0000,0.0000,29A46294,29A46294,merged_train2_train1,13,29A 46294,1.0,True,44.367,29A-462.94,13,14.184,,2 9A464,5,30.183,
car_269.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_269.jpg,,,,white,False,,,0.6359,0.0000,0.0000,0.0000,30S47926,30S47926,merged_train2_train1,13,30G 47926,0.875,False,55.482,,0,14.452,,30S 47926,13,41.030,
car_28.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_28.jpg,,,,white,False,,,0.5231,0.0000,0.0005,0.0000,30F68947,30F68947,merged_train2_train1,13,30F 68947,1.0,True,44.801,30F-689.47,13,15.043,,3 0F687,5,29.758,
car_286.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_286.jpg,,,,white,False,,,0.3071,0.0000,0.0370,0.0000,29V41910,29V41910,merged_train2_train1,13,29V 1910,0.875,False,47.776,29VA1910,8,14.818,,29V 1910,13,32.958,
car_300.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_300.jpg,,,,white,False,,,0.3426,0.0000,0.0032,0.2258,30F92619,30F92619,merged_train2_train1,13,30F 92619,1.0,True,60.333,30F-926.19,13,14.656,,30F 92619,13,45.677,
